refdes,snapped_pins,median_dx_px,median_dy_px,median_offset_px,rms_about_median_px,posture,pins
D97,3,25.461,-5.801,26.113,29.778,insufficient/ambiguous,15 3 4
D34,1,15.157,-20.726,25.677,0.000,insufficient/ambiguous,9
D37,1,7.741,23.053,24.318,0.000,insufficient/ambiguous,8
D95,4,12.126,19.932,23.331,14.538,insufficient/ambiguous,10 2 5 6
D12,1,-14.900,-17.214,22.767,0.000,insufficient/ambiguous,2
D7,1,-3.799,-21.870,22.198,0.000,insufficient/ambiguous,10
D2,1,-0.775,-18.799,18.815,0.000,insufficient/ambiguous,5
D28,4,-14.163,-8.138,16.335,10.683,insufficient/ambiguous,3 4 8 9
D13,3,-15.385,0.010,15.385,20.897,insufficient/ambiguous,10 12 3
D99,5,-12.505,-8.844,15.316,9.694,insufficient/ambiguous,10 2 3 6 9
D14,2,-10.823,9.428,14.354,1.719,insufficient/ambiguous,2 7
D106,4,-4.199,13.140,13.795,4.458,insufficient/ambiguous,13 2 3 4
D94,2,9.179,-9.618,13.295,22.436,insufficient/ambiguous,2 3
D52,2,-3.708,10.192,10.845,5.144,insufficient/ambiguous,12 14
D96,3,5.231,-8.731,10.178,5.035,insufficient/ambiguous,12 13 6
D29,2,6.258,-4.697,7.825,25.028,insufficient/ambiguous,2 6
D98,2,-6.678,-3.020,7.329,21.219,insufficient/ambiguous,13 14
D40,2,-3.707,2.288,4.356,16.757,insufficient/ambiguous,15 9
D51,1,-0.612,3.317,3.373,0.000,insufficient/ambiguous,1
D101,4,-2.012,2.668,3.342,21.515,insufficient/ambiguous,10 15 2 4
